Work Year,Seniority,Employee Status,Job Role,Salary,Company Size
2021,Director,Full Time,Director of Data Science,130000,Large (more than 250 employee)
2021,Associate,Full Time,Data Engineer,110000,Large (more than 250 employee)
2021,Junior,Full Time,Data Analyst,50000,Medium (50-250 employee)
2021,Associate,Full Time,Data Analytics Engineer,110000,Large (more than 250 employee)
2021,Superior,Full Time,Lead Data Analyst,170000,Large (more than 250 employee)
2021,Superior,Full Time,Data Analyst,80000,Small (less than 50 employee)
2021,Superior,Full Time,Marketing Data Analyst,75000,Large (more than 250 employee)
2021,Junior,Full Time,Data Science Consultant,65000,Small (less than 50 employee)
2021,Associate,Full Time,Lead Data Analyst,1450000,Large (more than 250 employee)
2021,Superior,Full Time,Lead Data Engineer,276000,Large (more than 250 employee)
2021,Junior,Full Time,Data Scientist,2200000,Large (more than 250 employee)
2021,Associate,Full Time,Cloud Data Engineer,120000,Large (more than 250 employee)
2021,Junior,Part Time,AI Scientist,12000,Small (less than 50 employee)
2021,Associate,Full Time,Financial Data Analyst,450000,Large (more than 250 employee)
2021,Junior,Full Time,Computer Vision Software Engineer,70000,Medium (50-250 employee)
2021,Associate,Full Time,Computer Vision Software Engineer,81000,Small (less than 50 employee)
2021,Associate,Full Time,Data Analyst,75000,Large (more than 250 employee)
2021,Superior,Full Time,Data Engineer,150000,Large (more than 250 employee)
2021,Associate,Full Time,BI Data Analyst,11000000,Large (more than 250 employee)
2021,Associate,Full Time,Data Analyst,62000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,73000,Large (more than 250 employee)
2021,Associate,Full Time,Data Analyst,37456,Large (more than 250 employee)
2021,Associate,Full Time,Research Scientist,235000,Large (more than 250 employee)
2021,Superior,Full Time,Data Engineer,115000,Small (less than 50 employee)
2021,Superior,Full Time,Data Engineer,150000,Medium (50-250 employee)
2021,Junior,Full Time,Data Engineer,2250000,Large (more than 250 employee)
2021,Superior,Full Time,Machine Learning Engineer,80000,Large (more than 250 employee)
2021,Superior,Full Time,Director of Data Engineering,82500,Medium (50-250 employee)
2021,Superior,Full Time,Lead Data Engineer,75000,Small (less than 50 employee)
2021,Junior,Part Time,AI Scientist,12000,Medium (50-250 employee)
2021,Associate,Full Time,Data Engineer,38400,Large (more than 250 employee)
2021,Junior,Full Time,Machine Learning Scientist,225000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,50000,Large (more than 250 employee)
2021,Associate,Full Time,Data Science Engineer,34000,Medium (50-250 employee)
2021,Junior,Full Time,Data Analyst,90000,Small (less than 50 employee)
2021,Associate,Full Time,Data Engineer,200000,Large (more than 250 employee)
2021,Associate,Full Time,Big Data Engineer,60000,Medium (50-250 employee)
2021,Superior,Full Time,Principal Data Engineer,200000,Medium (50-250 employee)
2021,Junior,Full Time,Data Analyst,50000,Medium (50-250 employee)
2021,Junior,Full Time,Applied Data Scientist,80000,Large (more than 250 employee)
2021,Junior,Part Time,Data Analyst,8760,Medium (50-250 employee)
2021,Associate,Full Time,Principal Data Scientist,151000,Large (more than 250 employee)
2021,Superior,Full Time,Machine Learning Scientist,120000,Small (less than 50 employee)
2021,Associate,Full Time,Data Scientist,700000,Small (less than 50 employee)
2021,Junior,Full Time,Machine Learning Engineer,20000,Small (less than 50 employee)
2021,Superior,Full Time,Lead Data Scientist,3000000,Large (more than 250 employee)
2021,Junior,Full Time,Machine Learning Developer,100000,Small (less than 50 employee)
2021,Junior,Full Time,Data Scientist,42000,Medium (50-250 employee)
2021,Associate,Full Time,Applied Machine Learning Scientist,38400,Medium (50-250 employee)
2021,Superior,Full Time,Computer Vision Engineer,24000,Medium (50-250 employee)
2021,Junior,Full Time,Data Scientist,100000,Small (less than 50 employee)
2021,Associate,Full Time,Data Analyst,90000,Medium (50-250 employee)
2021,Associate,Full Time,ML Engineer,7000000,Small (less than 50 employee)
2021,Associate,Full Time,ML Engineer,8500000,Small (less than 50 employee)
2021,Superior,Full Time,Principal Data Scientist,220000,Large (more than 250 employee)
2021,Junior,Full Time,Data Scientist,80000,Medium (50-250 employee)
2021,Associate,Full Time,Data Analyst,135000,Large (more than 250 employee)
2021,Superior,Full Time,Data Science Manager,240000,Large (more than 250 employee)
2021,Superior,Full Time,Data Engineering Manager,150000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,82500,Small (less than 50 employee)
2021,Associate,Full Time,Data Engineer,100000,Large (more than 250 employee)
2021,Superior,Full Time,Machine Learning Engineer,70000,Medium (50-250 employee)
2021,Associate,Full Time,Research Scientist,53000,Medium (50-250 employee)
2021,Associate,Full Time,Data Engineer,90000,Large (more than 250 employee)
2021,Superior,Full Time,Data Engineering Manager,153000,Large (more than 250 employee)
2021,Superior,Full Time,Cloud Data Engineer,160000,Small (less than 50 employee)
2021,Superior,Full Time,Director of Data Science,168000,Small (less than 50 employee)
2021,Associate,Full Time,Data Scientist,150000,Medium (50-250 employee)
2021,Associate,Full Time,Data Scientist,95000,Large (more than 250 employee)
2021,Junior,Full Time,Data Scientist,13400,Large (more than 250 employee)
2021,Superior,Full Time,Data Science Manager,144000,Large (more than 250 employee)
2021,Superior,Full Time,Data Science Engineer,159500,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,160000,Medium (50-250 employee)
2021,Associate,Full Time,Applied Machine Learning Scientist,423000,Large (more than 250 employee)
2021,Superior,Full Time,Data Analytics Manager,120000,Medium (50-250 employee)
2021,Junior,Full Time,Machine Learning Engineer,125000,Small (less than 50 employee)
2021,Director,Full Time,Head of Data,230000,Large (more than 250 employee)
2021,Director,Full Time,Head of Data Science,85000,Medium (50-250 employee)
2021,Associate,Full Time,Data Engineer,24000,Large (more than 250 employee)
2021,Junior,Full Time,Data Science Consultant,54000,Large (more than 250 employee)
2021,Director,Full Time,Director of Data Science,110000,Medium (50-250 employee)
2021,Superior,Full Time,Data Specialist,165000,Large (more than 250 employee)
2021,Junior,Full Time,Data Engineer,80000,Large (more than 250 employee)
2021,Director,Full Time,Director of Data Science,250000,Large (more than 250 employee)
2021,Junior,Full Time,BI Data Analyst,55000,Small (less than 50 employee)
2021,Associate,Full Time,Data Architect,150000,Large (more than 250 employee)
2021,Associate,Full Time,Data Architect,170000,Large (more than 250 employee)
2021,Associate,Full Time,Data Engineer,60000,Large (more than 250 employee)
2021,Junior,Full Time,Data Analyst,60000,Small (less than 50 employee)
2021,Superior,Full Time,Principal Data Scientist,235000,Large (more than 250 employee)
2021,Superior,Full Time,Research Scientist,51400,Large (more than 250 employee)
2021,Superior,Full Time,Data Engineering Manager,174000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,58000,Small (less than 50 employee)
2021,Associate,Full Time,Data Scientist,30400000,Large (more than 250 employee)
2021,Junior,Full Time,Machine Learning Engineer,81000,Small (less than 50 employee)
2021,Associate,Full Time,Data Scientist,420000,Small (less than 50 employee)
2021,Associate,Full Time,Big Data Engineer,1672000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,76760,Large (more than 250 employee)
2021,Associate,Full Time,Data Engineer,22000,Large (more than 250 employee)
2021,Superior,Full Time,Finance Data Analyst,45000,Large (more than 250 employee)
2021,Associate,FL,Machine Learning Scientist,12000,Medium (50-250 employee)
2021,Associate,Full Time,Data Engineer,4000,Medium (50-250 employee)
2021,Superior,Full Time,Data Analytics Engineer,50000,Medium (50-250 employee)
2021,Director,Full Time,Data Science Consultant,59000,Small (less than 50 employee)
2021,Superior,Full Time,Data Engineer,65000,Small (less than 50 employee)
2021,Associate,Full Time,Machine Learning Engineer,74000,Small (less than 50 employee)
2021,Superior,Full Time,Data Science Manager,152000,Large (more than 250 employee)
2021,Junior,Full Time,Machine Learning Engineer,21844,Medium (50-250 employee)
2021,Associate,Full Time,Big Data Engineer,18000,Small (less than 50 employee)
2021,Superior,Full Time,Data Science Manager,174000,Large (more than 250 employee)
2021,Superior,Full Time,Research Scientist,120500,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,147000,Large (more than 250 employee)
2021,Junior,Full Time,BI Data Analyst,9272,Small (less than 50 employee)
2021,Superior,Full Time,Machine Learning Engineer,1799997,Large (more than 250 employee)
2021,Superior,Full Time,Data Science Manager,4000000,Large (more than 250 employee)
2021,Junior,Full Time,Data Science Consultant,90000,Small (less than 50 employee)
2021,Associate,Full Time,Data Scientist,52000,Medium (50-250 employee)
2021,Superior,Full Time,Machine Learning Infrastructure Engineer,195000,Medium (50-250 employee)
2021,Associate,Full Time,Data Scientist,32000,Large (more than 250 employee)
2021,Superior,Full Time,Research Scientist,50000,Small (less than 50 employee)
2021,Associate,Full Time,Data Scientist,160000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,69600,Small (less than 50 employee)
2021,Superior,Full Time,Machine Learning Engineer,200000,Large (more than 250 employee)
2021,Superior,Full Time,Data Engineer,165000,Medium (50-250 employee)
2021,Associate,FL,Data Engineer,20000,Large (more than 250 employee)
2021,Superior,Full Time,Data Analytics Manager,120000,Large (more than 250 employee)
2021,Associate,Full Time,Machine Learning Engineer,21000,Large (more than 250 employee)
2021,Associate,Full Time,Research Scientist,48000,Small (less than 50 employee)
2021,Associate,Full Time,Data Engineer,48000,Small (less than 50 employee)
2021,Junior,Full Time,Big Data Engineer,435000,Large (more than 250 employee)
2021,Junior,Full Time,Machine Learning Engineer,21000,Medium (50-250 employee)
2021,Superior,Full Time,Principal Data Engineer,185000,Large (more than 250 employee)
2021,Junior,Part Time,Computer Vision Engineer,180000,Small (less than 50 employee)
2021,Associate,Full Time,Data Scientist,76760,Large (more than 250 employee)
2021,Associate,Full Time,Machine Learning Engineer,75000,Medium (50-250 employee)
2021,Superior,Full Time,Data Analytics Manager,140000,Large (more than 250 employee)
2021,Associate,Full Time,Machine Learning Engineer,180000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,85000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,2500000,Medium (50-250 employee)
2021,Associate,Full Time,Data Scientist,40900,Large (more than 250 employee)
2021,Superior,Full Time,Machine Learning Scientist,225000,Large (more than 250 employee)
2021,Director,Contractual,Principal Data Scientist,416000,Small (less than 50 employee)
2021,Superior,Full Time,Data Scientist,110000,Small (less than 50 employee)
2021,Associate,Full Time,Data Scientist,75000,Large (more than 250 employee)
2021,Superior,Full Time,Data Scientist,135000,Large (more than 250 employee)
2021,Superior,Full Time,Data Analyst,90000,Medium (50-250 employee)
2021,Junior,Full Time,Big Data Engineer,1200000,Large (more than 250 employee)
2021,Superior,Full Time,ML Engineer,256000,Small (less than 50 employee)
2021,Superior,Full Time,Director of Data Engineering,200000,Large (more than 250 employee)
2021,Superior,Full Time,Data Analyst,200000,Large (more than 250 employee)
2021,Associate,Full Time,Data Architect,180000,Large (more than 250 employee)
2021,Associate,Full Time,Head of Data Science,110000,Small (less than 50 employee)
2021,Associate,Full Time,Research Scientist,80000,Medium (50-250 employee)
2021,Associate,Full Time,Data Scientist,39600,Medium (50-250 employee)
2021,Junior,Full Time,Data Scientist,4000,Medium (50-250 employee)
2021,Junior,Full Time,Data Engineer,1600000,Medium (50-250 employee)
2021,Superior,Full Time,Data Scientist,130000,Large (more than 250 employee)
2021,Associate,Full Time,Data Analyst,80000,Large (more than 250 employee)
2021,Associate,Full Time,Data Engineer,110000,Large (more than 250 employee)
2021,Superior,Full Time,Data Scientist,165000,Large (more than 250 employee)
2021,Junior,Full Time,AI Scientist,1335000,Small (less than 50 employee)
2021,Associate,Full Time,Data Engineer,52500,Large (more than 250 employee)
2021,Junior,Full Time,Data Scientist,31000,Large (more than 250 employee)
2021,Associate,Full Time,Data Engineer,108000,Medium (50-250 employee)
2021,Superior,Full Time,Data Engineer,70000,Large (more than 250 employee)
2021,Superior,Full Time,Principal Data Analyst,170000,Medium (50-250 employee)
2021,Associate,Full Time,Data Scientist,115000,Large (more than 250 employee)
2021,Junior,Full Time,Data Scientist,90000,Small (less than 50 employee)
2021,Director,Full Time,Principal Data Engineer,600000,Large (more than 250 employee)
2021,Junior,Full Time,Data Scientist,2100000,Medium (50-250 employee)
2021,Associate,Full Time,Data Analyst,93000,Large (more than 250 employee)
2021,Superior,Full Time,Big Data Architect,125000,Medium (50-250 employee)
2021,Associate,Full Time,Data Engineer,200000,Large (more than 250 employee)
2021,Superior,Full Time,Principal Data Scientist,147000,Medium (50-250 employee)
2021,Superior,Full Time,Machine Learning Engineer,185000,Large (more than 250 employee)
2021,Director,Full Time,Director of Data Science,120000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,130000,Large (more than 250 employee)
2021,Superior,Full Time,Data Analyst,54000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,1250000,Small (less than 50 employee)
2021,Superior,Full Time,Machine Learning Engineer,4900000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,21600,Small (less than 50 employee)
2021,Superior,Full Time,Lead Data Engineer,160000,Small (less than 50 employee)
2021,Associate,Full Time,Data Engineer,93150,Medium (50-250 employee)
2021,Associate,Full Time,Data Engineer,111775,Medium (50-250 employee)
2021,Associate,Full Time,Data Engineer,250000,Medium (50-250 employee)
2021,Junior,Full Time,Data Engineer,55000,Medium (50-250 employee)
2021,Junior,Full Time,Data Engineer,72500,Large (more than 250 employee)
2021,Superior,Full Time,Computer Vision Engineer,102000,Medium (50-250 employee)
2021,Junior,Full Time,Data Science Consultant,65000,Large (more than 250 employee)
2021,Junior,Full Time,Machine Learning Engineer,85000,Small (less than 50 employee)
2021,Superior,Full Time,Data Scientist,65720,Medium (50-250 employee)
2021,Junior,Full Time,Data Scientist,100000,Medium (50-250 employee)
2021,Junior,Full Time,Data Scientist,58000,Large (more than 250 employee)
2021,Superior,Full Time,AI Scientist,55000,Large (more than 250 employee)
2021,Superior,Full Time,Data Scientist,180000,Large (more than 250 employee)
2021,Junior,Full Time,Business Data Analyst,50000,Large (more than 250 employee)
2021,Associate,Full Time,Data Engineer,112000,Large (more than 250 employee)
2021,Junior,Full Time,Research Scientist,100000,Large (more than 250 employee)
2021,Associate,Part Time,Data Engineer,59000,Large (more than 250 employee)
2021,Superior,Contractual,Staff Data Scientist,105000,Medium (50-250 employee)
2021,Associate,Full Time,Research Scientist,69999,Large (more than 250 employee)
2021,Superior,Full Time,Data Science Manager,7000000,Large (more than 250 employee)
2021,Superior,Full Time,Head of Data,87000,Large (more than 250 employee)
2021,Associate,Full Time,Data Scientist,109000,Large (more than 250 employee)
2021,Associate,Full Time,Machine Learning Engineer,43200,Large (more than 250 employee)
2022,Superior,Full Time,Data Engineer,135000,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,155000,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,120600,Medium (50-250 employee)
2022,Associate,Full Time,Data Scientist,130000,Medium (50-250 employee)
2022,Associate,Full Time,Data Scientist,90000,Medium (50-250 employee)
2022,Associate,Full Time,Data Engineer,170000,Medium (50-250 employee)
2022,Associate,Full Time,Data Engineer,150000,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,102100,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,84900,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,136620,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,99360,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,90000,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,80000,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,146000,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,123000,Medium (50-250 employee)
2022,Junior,Full Time,Data Engineer,40000,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,99000,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,116000,Medium (50-250 employee)
2022,Associate,Full Time,Data Analyst,106260,Medium (50-250 employee)
2022,Associate,Full Time,Data Analyst,126500,Medium (50-250 employee)
2022,Director,Full Time,Data Engineer,242000,Medium (50-250 employee)
2022,Director,Full Time,Data Engineer,200000,Medium (50-250 employee)
2022,Associate,Full Time,Data Scientist,50000,Medium (50-250 employee)
2022,Associate,Full Time,Data Scientist,30000,Medium (50-250 employee)
2022,Associate,Full Time,Data Engineer,60000,Medium (50-250 employee)
2022,Associate,Full Time,Data Engineer,40000,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,165220,Medium (50-250 employee)
2022,Junior,Full Time,Data Engineer,35000,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,120160,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,90320,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,181940,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,132320,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,220110,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,160080,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,180000,Large (more than 250 employee)
2022,Superior,Full Time,Data Scientist,120000,Large (more than 250 employee)
2022,Superior,Full Time,Data Analyst,124190,Medium (50-250 employee)
2022,Director,Full Time,Data Analyst,130000,Medium (50-250 employee)
2022,Director,Full Time,Data Analyst,110000,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,170000,Medium (50-250 employee)
2022,Associate,Full Time,Data Analyst,115500,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,112900,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,90320,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,112900,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,90320,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,165400,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,132320,Medium (50-250 employee)
2022,Associate,Full Time,Data Analyst,167000,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,243900,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,136600,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,109280,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,128875,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,93700,Medium (50-250 employee)
2022,Director,Full Time,Head of Data Science,224000,Medium (50-250 employee)
2022,Director,Full Time,Head of Data Science,167875,Medium (50-250 employee)
2022,Director,Full Time,Analytics Engineer,175000,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,156600,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,108800,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,95550,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,113000,Large (more than 250 employee)
2022,Superior,Full Time,Data Analyst,135000,Medium (50-250 employee)
2022,Superior,Full Time,Data Science Manager,161342,Medium (50-250 employee)
2022,Superior,Full Time,Data Science Manager,137141,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,167000,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,123000,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,60000,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,50000,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,150000,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,211500,Medium (50-250 employee)
2022,Superior,Full Time,Data Architect,192400,Medium (50-250 employee)
2022,Superior,Full Time,Data Architect,90700,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,130000,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,61300,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,130000,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,61300,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,160000,Large (more than 250 employee)
2022,Superior,Full Time,Data Scientist,138600,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,136000,Medium (50-250 employee)
2022,Associate,Full Time,Data Analyst,58000,Small (less than 50 employee)
2022,Director,Full Time,Analytics Engineer,135000,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,170000,Medium (50-250 employee)
2022,Superior,Full Time,Data Scientist,123000,Medium (50-250 employee)
2022,Superior,Full Time,Machine Learning Engineer,189650,Medium (50-250 employee)
2022,Superior,Full Time,Machine Learning Engineer,164996,Medium (50-250 employee)
2022,Associate,Full Time,ETL Developer,50000,Medium (50-250 employee)
2022,Associate,Full Time,ETL Developer,50000,Medium (50-250 employee)
2022,Director,Full Time,Lead Data Engineer,150000,Small (less than 50 employee)
2022,Superior,Full Time,Data Analyst,132000,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,165400,Medium (50-250 employee)
2022,Superior,Full Time,Data Architect,208775,Medium (50-250 employee)
2022,Superior,Full Time,Data Architect,147800,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,136994,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,101570,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,128875,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,93700,Medium (50-250 employee)
2022,Director,Full Time,Head of Machine Learning,6000000,Large (more than 250 employee)
2022,Superior,Full Time,Data Engineer,132320,Medium (50-250 employee)
2022,Junior,Full Time,Machine Learning Engineer,28500,Large (more than 250 employee)
2022,Superior,Full Time,Data Analyst,164000,Medium (50-250 employee)
2022,Superior,Full Time,Data Engineer,155000,Medium (50-250 employee)
2022,Associate,Full Time,Machine Learning Engineer,95000,Medium (50-250 employee)
2022,Associate,Full Time,Machine Learning Engineer,75000,Medium (50-250 employee)
2022,Associate,Full Time,AI Scientist,120000,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,112900,Medium (50-250 employee)
2022,Superior,Full Time,Data Analyst,90320,Medium (50-250 employee)
2022,Superior,Full Time,Data Analytics Manager,145000,Medium (50-250 employee)
2022,Superior,Full Time,Data Analytics Manager,105400,Medium (50-250 employee)
2022,Associate,Full Time,Machine Learning Engineer,80000,Medium (50-250 employee)
